step,hour,outdoor_temp_c,reactive_room_temp_c,reactive_power_pct,mpc_room_temp_c,mpc_power_pct
0,0.0,14.0,23.1,0.0,23.1,10.0
1,0.167,13.917,22.991,0.0,23.063,10.0
2,0.333,13.833,22.882,0.0,23.025,10.0
3,0.5,13.75,22.773,0.0,22.987,20.0
4,0.667,13.667,22.665,0.0,23.02,10.0
5,0.833,13.583,22.557,0.0,22.98,20.0
6,1.0,13.5,22.449,0.0,23.011,10.0
7,1.167,13.25,22.342,0.0,22.969,20.0
8,1.333,13.0,22.233,0.0,22.996,20.0
9,1.5,12.75,22.122,0.0,23.02,20.0
10,1.667,12.5,22.01,0.0,23.041,10.0
11,1.833,12.25,21.896,100.0,22.986,20.0
12,2.0,12.0,22.5,0.0,23.002,20.0
13,2.167,11.333,22.374,0.0,23.014,20.0
14,2.333,10.667,22.241,0.0,23.017,20.0
15,2.5,10.0,22.102,0.0,23.013,20.0
16,2.667,9.333,21.957,100.0,23.001,20.0
17,2.833,8.667,22.526,0.0,22.981,30.0
18,3.0,8.0,22.359,0.0,23.025,30.0
19,3.167,6.0,22.187,0.0,23.061,30.0
20,3.333,4.0,21.993,100.0,23.072,30.0
21,3.5,2.0,22.497,0.0,23.059,30.0
22,3.667,0.0,22.251,0.0,23.023,40.0
23,3.833,-2.0,21.984,100.0,23.034,40.0
24,4.0,-4.0,22.416,0.0,23.022,40.0
25,4.167,-4.333,22.099,0.0,22.986,50.0
26,4.333,-4.667,21.782,100.0,23.018,40.0
27,4.5,-5.0,22.185,0.0,22.974,50.0
28,4.667,-5.333,21.858,100.0,22.998,50.0
29,4.833,-5.667,22.252,0.0,23.018,50.0
30,5.0,-6.0,21.917,100.0,23.034,40.0
31,5.167,-5.333,22.302,0.0,22.973,50.0
32,5.333,-4.667,21.97,100.0,22.994,50.0
33,5.5,-4.0,22.371,0.0,23.022,40.0
34,5.667,-3.333,22.054,0.0,22.986,40.0
35,5.833,-2.667,21.75,100.0,22.958,50.0
36,6.0,-2.0,22.177,0.0,23.01,40.0
37,6.167,-1.333,21.887,100.0,22.998,40.0
38,6.333,-0.667,22.328,0.0,22.994,40.0
39,6.5,0.0,22.052,0.0,22.998,40.0
40,6.667,0.667,21.787,100.0,23.01,30.0
41,6.833,1.333,22.254,0.0,22.958,40.0
42,7.0,2.0,22.003,0.0,22.987,30.0
43,7.167,2.667,21.763,100.0,22.951,40.0
44,7.333,3.333,22.254,0.0,22.995,30.0
45,7.5,4.0,22.027,0.0,22.975,30.0
46,7.667,4.667,21.81,100.0,22.964,30.0
47,7.833,5.333,22.325,0.0,22.96,30.0
48,8.0,6.0,22.121,0.0,22.965,30.0
49,8.167,6.25,21.927,100.0,22.977,30.0
50,8.333,6.5,22.459,0.0,22.992,30.0
51,8.5,6.75,22.268,0.0,23.01,30.0
52,8.667,7.0,22.081,0.0,23.031,20.0
53,8.833,7.25,21.9,100.0,22.983,30.0
54,9.0,7.5,22.445,0.0,23.01,20.0
55,9.167,7.75,22.265,0.0,22.968,30.0
56,9.333,8.0,22.091,0.0,23.001,20.0
57,9.5,8.25,21.922,100.0,22.965,30.0
58,9.667,8.5,22.478,0.0,23.005,20.0
59,9.833,8.75,22.31,0.0,22.975,30.0
60,10.0,9.0,22.147,0.0,23.02,20.0
61,10.167,9.167,21.99,100.0,22.996,20.0
62,10.333,9.333,22.556,0.0,22.974,20.0
63,10.5,9.5,22.397,0.0,22.954,30.0
64,10.667,9.667,22.242,0.0,23.009,20.0
65,10.833,9.833,22.091,0.0,22.993,20.0
66,11.0,10.0,21.944,100.0,22.979,20.0
67,11.167,10.167,22.521,0.0,22.967,20.0
68,11.333,10.333,22.373,0.0,22.957,20.0
69,11.5,10.5,22.228,0.0,22.95,20.0
70,11.667,10.667,22.088,0.0,22.944,20.0
71,11.833,10.833,21.951,100.0,22.941,10.0
